Time[s],Velocity-x [m/s],Velocity-y [m/s],Velocity-z [m/s],Omega-x [rad/s],Omega-y [rad/s],Omega-z [rad/s],Position-x [rad/s],Position-y [rad/s],Position-z [rad/s],Net Force-x [N],Net Force-y [N],Net Force-z [N]
0,0,0,-0.1,0,0,-3.14159265359,0,0,0,0,0,0
0.01,0,0,-0.1,0,0,-3.14159265359,0,0,-0.001,-0.00026534407423983,-0.000266490615352402,10.3637522034855
0.02,0,0,-0.1,0,0,-3.14159265359,0,0,-0.002,-0.000248780227205578,-0.000236514656319738,10.8735977569989
0.03,0,0,-0.1,0,0,-3.14159265359,0,0,-0.003,-0.000248134477433909,-0.000194932092916916,11.3848542945315
0.04,0,0,-0.1,0,0,-3.14159265359,0,0,-0.004,-0.000227159996360943,-0.000158945898444549,11.8965295138273
0.05,0,0,-0.1,0,0,-3.14159265359,0,0,-0.005,-0.000188830531697215,-0.000130182965237691,12.4096243746768
0.06,0,0,-0.1,0,0,-3.14159265359,0,0,-0.006,-0.000184754561976197,-9.60700630597607e-05,12.9236198656186
0.07,0,0,-0.1,0,0,-3.14159265359,0,0,-0.007,-0.000192751963488363,-5.72487164733904e-05,13.437322838287
0.08,0,0,-0.1,0,0,-3.14159265359,0,0,-0.008,-0.000180510924462342,-1.80741015109592e-05,13.950923183976
0.09,0,0,-0.1,0,0,-3.14159265359,0,0,-0.009,-0.000156194622883299,3.39714626128203e-05,14.464414091395
0.1,0,0,-0.1,0,0,-3.14159265359,0,0,-0.01,-0.000128363067403138,8.35804685196187e-05,14.9777028540202
0.11,0,0,-0.1,0,0,-3.14159265359,0,0,-0.011,-9.24048723845161e-05,0.000128506290689775,15.4909345289867
0.12,0,0,-0.1,0,0,-3.14159265359,0,0,-0.012,-2.01543354460682e-05,0.000150810116995203,16.0036555171199
0.13,0,0,-0.1,0,0,-3.14159265359,0,0,-0.013,1.51646050981433e-05,0.000192840306275699,16.5157429016547
0.14,0,0,-0.1,0,0,-3.14159265359,0,0,-0.014,4.93082302381528e-05,0.000234510389288654,17.0277388959777
0.15,0,0,-0.1,0,0,-3.14159265359,0,0,-0.015,8.66477869232163e-05,0.000273883419468428,17.5392600818097
0.16,0,0,-0.1,0,0,-3.14159265359,0,0,-0.016,0.000134602040110621,0.000305936167437182,18.0506830589171
0.17,0,0,-0.1,0,0,-3.14159265359,0,0,-0.017,0.000180336992351655,0.00033829050059013,18.5617121273907
0.18,0,0,-0.1,0,0,-3.14159265359,0,0,-0.018,0.00024338622091763,0.000358927769307307,19.0725550882194
0.19,0,0,-0.1,0,0,-3.14159265359,0,0,-0.019,0.000292609758571552,0.000385825225945338,19.5832226239991
0.2,0,0,-0.1,0,0,-3.14159265359,0,0,-0.02,0.000343273677903835,0.000410253952611392,20.0940075614066
0.21,0,0,-0.1,0,0,-3.14159265359,0,0,-0.021,0.00039563147217915,0.000431911577567737,20.6050494220307
0.22,0,0,-0.1,0,0,-3.14159265359,0,0,-0.022,0.000455200503815451,0.000454235622003481,21.1167327234168
0.23,0,0,-0.1,0,0,-3.14159265359,0,0,-0.023,0.00052182448980749,0.000476425594611231,21.6289217584198
0.24,0,0,-0.1,0,0,-3.14159265359,0,0,-0.024,0.00059023737418068,0.00049483931344501,22.1415146113021
0.25,0,0,-0.1,0,0,-3.14159265359,0,0,-0.025,0.000660473788073126,0.000509046375089306,22.6544447245319
0.26,0,0,-0.1,0,0,-3.14159265359,0,0,-0.026,0.000734994397275861,0.000521178852805733,23.1673802142899
0.27,0,0,-0.1,0,0,-3.14159265359,0,0,-0.027,0.00081080098647273,0.000529143392993557,23.6803158217629
0.28,0,0,-0.1,0,0,-3.14159265359,0,0,-0.028,0.000887774256869759,0.000532829091113816,24.193251429236
0.29,0,0,-0.1,0,0,-3.14159265359,0,0,-0.029,0.000965719275664644,0.000532172383440811,24.706187036709
0.3,0,0,-0.1,0,0,-3.14159265359,0,0,-0.03,0.00104443832742801,0.000527117758181983,25.219122644182
0.31,0,0,-0.1,0,0,-3.14159265359,0,0,-0.031,0.00112373122843191,0.000517617865655066,25.732058251655
0.32,0,0,-0.1,0,0,-3.14159265359,0,0,-0.032,0.00120339564509889,0.000503633616702949,26.2449938591281
0.33,0,0,-0.1,0,0,-3.14159265359,0,0,-0.033,0.00128322741613302,0.000485134269072096,26.7579294666011
0.34,0,0,-0.1,0,0,-3.14159265359,0,0,-0.034,0.00136302087789685,0.000462097501719785,27.2708650740741
0.35,0,0,-0.1,0,0,-3.14159265359,0,0,-0.035,0.00144256919259159,0.00043450947689036,27.7838006815471
0.36,0,0,-0.1,0,0,-3.14159265359,0,0,-0.036,0.00152166467879251,0.000402364889858814,28.2967362890202
0.37,0,0,-0.1,0,0,-3.14159265359,0,0,-0.037,0.00160009914388548,0.000365667006268944,28.8096718964932
0.38,0,0,-0.1,0,0,-3.14159265359,0,0,-0.038,0.00167766421795664,0.000324427687003095,29.3226075039662
0.39,0,0,-0.1,0,0,-3.14159265359,0,0,-0.039,0.0017541516886756,0.000278667400498908,29.8355431114392
0.4,0,0,-0.1,0,0,-3.14159265359,0,0,-0.04,0.00182935383671046,0.000228415222531558,30.3484787189123
0.41,0,0,-0.1,0,0,-3.14159265359,0,0,-0.041,0.001903063771225,0.000173708823372323,30.8614143263853
0.42,0,0,-0.1,0,0,-3.14159265359,0,0,-0.042,0.00197507576498837,0.000114594442396754,31.3743499338583
0.43,0,0,-0.1,0,0,-3.14159265359,0,0,-0.043,0.00204518558864112,5.11268500841683e-05,31.8872855413314
0.44,0,0,-0.1,0,0,-3.14159265359,0,0,-0.044,0.00211319084366298,-1.66307024946077e-05,32.4002211488044
0.45,0,0,-0.1,0,0,-3.14159265359,0,0,-0.045,0.00217889129357452,-8.86065467293612e-05,32.9131567562774
0.46,0,0,-0.1,0,0,-3.14159265359,0,0,-0.046,0.00224208919292289,-0.000164720671911145,33.4260923637504
0.47,0,0,-0.1,0,0,-3.14159265359,0,0,-0.047,0.00230258961359742,-0.000244884813077814,33.9390279712235
0.48,0,0,-0.1,0,0,-3.14159265359,0,0,-0.048,0.00236020076802025,-0.000329002551080343,34.4519635786965
